Date,Open,High,Low,Close,Adj Close,Volume
2002-08-13,51.95,53.0,51.0,51.55,51.55,1100
2002-08-14,51.5,52.3,51.0,51.15,51.15,1157
2002-08-16,52.0,52.9,51.5,52.35,52.35,776
2002-08-19,51.0,53.2,50.9,51.2,51.2,1501
2002-08-20,51.05,51.05,49.4,49.9,49.9,1675
2002-08-21,51.0,52.0,50.0,50.05,50.05,2655
2002-08-22,50.05,50.05,49.0,50.0,50.0,600
2002-08-23,50.25,50.5,50.25,50.5,50.5,2025
2002-08-26,50.0,50.0,47.1,50.0,50.0,490
2002-08-27,50.5,50.85,50.0,50.0,50.0,1051
2002-08-28,49.25,51.4,49.25,49.7,49.7,300
2002-08-29,49.6,50.25,49.0,49.0,49.0,475
2002-08-30,49.55,51.55,49.5,51.0,51.0,1350
2002-09-02,49.25,49.25,49.0,49.0,49.0,675
2002-09-03,49.5,49.55,49.25,49.25,49.25,900
2002-09-04,49.5,50.0,49.4,50.0,50.0,1960
2002-09-05,50.0,50.4,50.0,50.35,50.35,184
2002-09-06,49.0,51.0,49.0,50.0,50.0,1150
2002-09-09,49.1,49.75,49.05,49.6,49.6,400
2002-09-11,49.55,49.95,49.0,49.3,49.3,625
2002-09-12,50.8,50.8,49.5,50.1,50.1,350
2002-09-13,50.0,50.0,49.5,50.0,50.0,570
2002-09-16,50.0,50.25,49.5,49.95,49.95,2400
2002-09-17,50.0,50.25,49.8,49.8,49.8,2423
2002-09-18,50.0,50.3,49.55,49.7,49.7,1721
2002-09-19,49.1,50.6,49.1,49.75,49.75,3826
2002-09-20,42.25,50.0,42.25,49.85,49.85,1438
2002-09-23,50.7,51.0,49.5,50.85,50.85,2631
2002-09-24,50.7,50.7,49.8,50.0,50.0,2540
2002-09-25,49.05,50.0,49.0,49.5,49.5,1410
2002-09-27,49.65,49.7,49.65,49.7,49.7,300
2002-09-30,49.8,49.8,49.5,49.5,49.5,400
2002-10-01,49.5,50.0,49.5,49.55,49.55,557
2002-10-03,49.0,49.0,49.0,49.0,49.0,200
2002-10-04,49.15,49.35,49.1,49.1,49.1,605
2002-10-07,49.6,50.0,49.5,49.5,49.5,2345
2002-10-08,50.0,50.0,49.0,49.25,49.25,1775
2002-10-09,48.65,49.25,48.6,49.15,49.15,670
2002-10-10,49.15,49.15,49.0,49.05,49.05,126
2002-10-11,49.1,49.4,49.0,49.2,49.2,436
2002-10-14,45.1,51.25,45.1,50.0,50.0,326
2002-10-16,49.1,49.95,49.1,49.55,49.55,350
2002-10-17,49.9,50.0,49.0,49.9,49.9,2202
2002-10-18,49.0,50.0,49.0,49.5,49.5,1735
2002-10-21,49.0,50.15,49.0,50.0,50.0,4945
2002-10-22,49.2,50.0,48.0,48.1,48.1,837
2002-10-23,49.9,49.9,47.75,47.9,47.9,6915
2002-10-24,47.05,48.0,47.0,47.3,47.3,2081
2002-10-25,47.0,48.0,45.05,47.1,47.1,12215
2002-10-28,47.0,47.9,47.0,47.85,47.85,387
2002-10-29,43.05,47.1,43.05,47.05,47.05,415
2002-10-30,49.15,49.15,47.05,47.05,47.05,430
2002-10-31,41.4,48.0,41.4,47.7,47.7,1485
2002-11-01,46.6,48.0,46.6,48.0,48.0,765
2002-11-04,46.0,46.0,46.0,46.0,46.0,100
2002-11-05,46.05,47.95,46.05,46.25,46.25,857
2002-11-07,47.0,47.0,45.8,45.85,45.85,922
2002-11-08,45.6,46.05,45.6,46.0,46.0,750
2002-11-11,44.55,46.4,44.55,46.4,46.4,1305
2002-11-12,45.35,46.5,45.3,46.2,46.2,4025
2002-11-13,45.3,47.85,45.3,47.35,47.35,1282
2002-11-14,47.6,47.6,45.5,47.3,47.3,887
2002-11-15,45.0,47.8,42.7,45.8,45.8,1084
2002-11-18,47.0,47.0,46.1,46.15,46.15,200
2002-11-20,46.8,47.0,46.8,46.8,46.8,525
2002-11-21,46.95,47.75,46.95,47.75,47.75,615
2002-11-22,49.0,49.0,46.85,47.0,47.0,1750
2002-11-25,47.4,51.25,47.0,48.0,48.0,2500
2002-11-26,52.0,52.0,47.35,47.85,47.85,900
2002-11-27,47.8,49.0,47.8,48.2,48.2,1080
2002-11-28,48.05,48.5,47.4,47.8,47.8,1771
2002-11-29,48.0,48.0,47.0,47.0,47.0,2350
2002-12-02,46.55,50.85,46.55,50.0,50.0,13749
2002-12-03,45.2,52.0,45.2,49.15,49.15,7354
